note	team	type	player	type_cd	team_id	player_id	name_sort	from_team	trans_date	orig_asset	final_asset	from_team_id	resolution_cd	trans_date_cd	transaction_id	conditional_sw	effective_date	orig_asset_type	resolution_date	final_asset_type	name_display_last_first	name_display_first_last
Miami Marlins signed free agent LHP Craig Breslow to a minor league contract.	Miami Marlins	Signed as Free Agent	Craig Breslow	SFA	146	444520	BRESLOW, CRAIG		2016-02-12T00:00:00	Player			FIN	D	255263		2016-02-12T00:00:00	PL	2016-02-12T00:00:00		Breslow, Craig	Craig Breslow
Chicago Cubs signed free agent RF Matt Murton to a minor league contract and invited him to spring training.	Chicago Cubs	Signed as Free Agent	Matt Murton	SFA	112	444875	MURTON, MATT		2016-02-13T00:00:00	Player			FIN	D	254935		2016-02-13T00:00:00	PL	2016-02-13T00:00:00		Murton, Matt	Matt Murton
Cincinnati Reds signed free agent P Jose Zorrilla to a minor league contract.	Cincinnati Reds	Signed as Free Agent	Jose Zorrilla	SFA	113	667391	ZORRILLA, JOSE		2016-02-13T00:00:00	Player			FIN	D	254950		2016-02-13T00:00:00	PL	2016-02-13T00:00:00		Zorrilla, Jose	Jose Zorrilla
Texas Rangers signed free agent RHP Steve Johnson to a minor league contract and invited him to spring training.	Texas Rangers	Signed as Free Agent	Steve Johnson	SFA	140	489002	JOHNSON, STEVE		2016-02-14T00:00:00	Player			FIN	D	254790		2016-02-14T00:00:00	PL	2016-02-14T00:00:00		Johnson, Steve	Steve Johnson
Chicago White Sox signed free agent RHP Adam Panayotovich to a minor league contract.	Chicago White Sox	Signed as Free Agent	Adam Panayotovich	SFA	145	667547	PANAYOTOVICH, ADAM		2016-02-14T00:00:00	Player			FIN	D	255250		2016-02-14T00:00:00	PL	2016-02-14T00:00:00		Panayotovich, Adam	Adam Panayotovich
Washington Nationals invited non-roster RHP Lucas Giolito to spring training.	Washington Nationals	Assigned	Lucas Giolito	ASG	120	608337	GIOLITO, LUCAS		2016-02-15T00:00:00	Player			FIN	D	254827		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Giolito, Lucas	Lucas Giolito
Washington Nationals invited non-roster 3B Jason Martinson to spring training.	Washington Nationals	Assigned	Jason Martinson	ASG	120	592535	MARTINSON, JASON		2016-02-15T00:00:00	Player			FIN	D	254831		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Martinson, Jason	Jason Martinson
Washington Nationals invited non-roster 3B Matt Skole to spring training.	Washington Nationals	Assigned	Matt Skole	ASG	120	605474	SKOLE, MATT		2016-02-15T00:00:00	Player			FIN	D	254832		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Skole, Matt	Matt Skole
Washington Nationals invited non-roster RHP Austin Voth to spring training.	Washington Nationals	Assigned	Austin Voth	ASG	120	608723	VOTH, AUSTIN		2016-02-15T00:00:00	Player			FIN	D	254830		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Voth, Austin	Austin Voth
Washington Nationals invited non-roster RHP Wander Suero to spring training.	Washington Nationals	Assigned	Wander Suero	ASG	120	593833	SUERO, WANDER		2016-02-15T00:00:00	Player			FIN	D	254829		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Suero, Wander	Wander Suero
Washington Nationals invited non-roster RHP Paolo Espino to spring training.	Washington Nationals	Assigned	Paolo Espino	ASG	120	502179	ESPINO, PAOLO		2016-02-15T00:00:00	Player			FIN	D	254825		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Espino, Paolo	Paolo Espino
Seattle Mariners invited non-roster RHP Adrian Sampson to spring training.	Seattle Mariners	Assigned	Adrian Sampson	ASG	136	592716	SAMPSON, ADRIAN		2016-02-15T00:00:00	Player			FIN	D	254879		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Sampson, Adrian	Adrian Sampson
Seattle Mariners invited non-roster C Marcus Littlewood to spring training.	Seattle Mariners	Assigned	Marcus Littlewood	ASG	136	547171	LITTLEWOOD, MARCUS		2016-02-15T00:00:00	Player			FIN	D	254877		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Littlewood, Marcus	Marcus Littlewood
Seattle Mariners invited non-roster LF Dario Pizzano to spring training.	Seattle Mariners	Assigned	Dario Pizzano	ASG	136	623188	PIZZANO, DARIO		2016-02-15T00:00:00	Player			FIN	D	254878		2016-02-15T00:00:00	PL	2016-02-15T00:00:00		Pizzano, Dario	Dario Pizzano
