Entity,Url,Director,Year,Alias,IMDB_OLD,IMDB URL,genre,Runtime
Fawns,http://slgff.strangertickets.com/films/28226716/fawns,Thanasis Tsimpinis,2014,,tt5101268,tt5101268,,4
Carina,http://slgff.strangertickets.com/films/28226685/carina,Sandra Reynoso,2014,,,,,11
Blackroot,http://slgff.strangertickets.com/films/28226663/blackroot,"Ben Kadie, Jack Flynn",2015,,,,,16
Front Cover,http://slgff.strangertickets.com/films/28226596/front-cover,Ray Yeung,2015,,tt3185602,tt3185602,,87
Hole,http://slgff.strangertickets.com/films/28226799/hole,Martin Edralin,2014,,tt3630326,,,15
Why I Fight,http://slgff.strangertickets.com/films/28226865/why-i-fight,Violetta Palak,2014,,,,,17
"Nick Jonas: Gay ""teacher""",http://slgff.strangertickets.com/films/28226800/nick-jonas-gay-teacher,Heath Daniels,2015,,,,,4
Want It!,http://slgff.strangertickets.com/films/28226846/want-it,Lee Haven Jones,2014,,,,,11
Myrna The Monster,http://slgff.strangertickets.com/films/28226821/myrna-the-monster,Ian Samuels,2015,,tt4180724,tt4180724,,15
Been Too Long At The Fair,http://slgff.strangertickets.com/films/28226665/been-too-long-at-the-fair,"Charles Lum, Todd Verow",2015,,tt4374426,tt4374426,,7
Hush Up Sweet Charlotte,http://slgff.strangertickets.com/films/28226554/hush-up-sweet-charlotte,Billy Clift,2015,,,,,97
Jayson Bend: Queen And Country,http://slgff.strangertickets.com/films/28226574/jayson-bend-queen-and-country,Matt Carter,2014,,,tt3385354,,49
The Lives Of Lamott Atkins,http://slgff.strangertickets.com/films/28226759/lives-of-lamott-atkins-the,Robert Philipson,2014,,,tt3314896,,36
Reel In The Closet,http://slgff.strangertickets.com/films/28226608/reel-in-the-closet,Stu Maddux,2015,,tt4485952,tt4485952,,70
Freeheld,http://slgff.strangertickets.com/films/28226582/freeheld,Peter Sollett,2015,,tt1658801,tt1658801,,103
The Friend From Telaviv,http://slgff.strangertickets.com/films/28226770/friend-from-telaviv-the,Federica Gianni,2015,,,,,13
Underage,http://slgff.strangertickets.com/films/28226857/underage,"Quinton Mourjoun, Ryn Brocx, Pluto McGregor, Piper Lambert-Vail, Jackie Moffitt",2015,,,,,6
Charlotte,http://slgff.strangertickets.com/films/28226693/charlotte,Angel Kristi Williams,2015,,tt4215850,,,11
Mini Supreme,http://slgff.strangertickets.com/films/28226802/mini-supreme,Michael Phillis,2015,,tt4477910,tt4477910,,10
The Parker Tribe,http://slgff.strangertickets.com/films/28226820/parker-tribe-the,Jane Baker,2015,,tt3526060,tt3526060,,25
Nasty Baby,http://slgff.strangertickets.com/films/28226610/nasty-baby,Sebastián Silva,2015,,,,,100
"Furious Saint Jack & Otter, Alone",http://slgff.strangertickets.com/films/28226719/furious-saint-jack-otter-alone,Ethan Roberts,2014,,,,,6
Float,http://slgff.strangertickets.com/films/28226766/float,Sam Berliner,2015,,tt4392140,,,4
Welcome To This House,http://slgff.strangertickets.com/films/28226621/welcome-to-this-house,Barbara Hammer,2015,,tt4329186,tt4329186,,79
Lazarus Come Out,http://slgff.strangertickets.com/films/28226778/lazarus-come-out,Lorenzo Caproni,2015,,tt4500470,tt4500470,,15
Before The Last Curtain Falls,http://slgff.strangertickets.com/films/28226590/before-the-last-curtain-falls,Thomas Wallner,2014,,,,,86
You're Killing Me,http://slgff.strangertickets.com/films/28226654/youre-killing-me,Jim Hansen,2015,,tt4490654,tt4490654,,90
Joani: Queen Of The Paradiddle,http://slgff.strangertickets.com/films/28226797/joani-queen-of-the-paradiddle,Tina Gordon,2015,,tt5171984,tt5171984,,31
Decussation Chamber,http://slgff.strangertickets.com/films/28226718/decussation-chamber,"Nathan Hill, Malic Amalya",2015,,,,,9
Notes From There,http://slgff.strangertickets.com/films/28226817/notes-from-there,Ann Prim,2015,,tt4372328,tt4372328,,14
Give Him Something Red,http://slgff.strangertickets.com/films/28226740/give-him-something-red,Greg Acceta,2015,,,,,5
Stories Of Our Lives,http://slgff.strangertickets.com/films/28226603/stories-of-our-lives,Jim Chuchu,2014,,tt3973612,tt3973612,,62
Brockington,http://slgff.strangertickets.com/films/28226668/brockington,"Sergio Ingato, Mason Sklut, Maggie Sloane",2014,,tt3780526,tt3780526,,9
Rite Of Spring,http://slgff.strangertickets.com/films/28226831/rite-of-spring,Glen Wood,2014,,tt3626828,,,12
The Surface,http://slgff.strangertickets.com/films/28226607/surface-the,Michael Saul,2015,,tt3581788,,,79
Aviliaq: Entwined,http://slgff.strangertickets.com/films/28226697/aviliaq-entwined,Alethea Arnaquq-Baril,2014,,tt4777054,tt4777054,,16
The Little Deputy,http://slgff.strangertickets.com/films/28226754/little-deputy-the,Trevor Anderson,2015,,tt4110934,tt4110934,,9
Plunge,http://slgff.strangertickets.com/films/28226835/plunge,Kate Lefoe,2014,,,,,6
Closets,http://slgff.strangertickets.com/films/28226690/closets,Lloyd Eyre-Morgan,2015,,tt4643840,,,18
While You Weren't Looking,http://slgff.strangertickets.com/films/28226632/while-you-werent-looking,Catherine Stewart,2015,,tt4353990,tt4353990,,74
Akron,http://slgff.strangertickets.com/films/28226538/akron,"Brian O'Donnell, Sasha King",2015,,tt3544014,,,88
Tremulo,http://slgff.strangertickets.com/films/28226864/tremulo,Roberto Fiesco,2015,,,,,20
Ma/ddy,http://slgff.strangertickets.com/films/28226763/maddy,Devon Kirkpatrick,2015,,,tt3914252,,12
Roxanne,http://slgff.strangertickets.com/films/28226832/roxanne,Paul Frankl,2014,,tt4136956,,,14
Summer,http://slgff.strangertickets.com/films/28226617/summer,Colette Bothof,2014,,tt2691102,,,86
Happy & Gay,http://slgff.strangertickets.com/films/28226756/happy-gay,Lorelei Pepi,2014,,,,,11
To Hold Water,http://slgff.strangertickets.com/films/28226862/to-hold-water,Francisca Alegría,2015,,,,,15
A Gay Girl In Damascus: The Amina Profile,http://slgff.strangertickets.com/films/28226536/gay-girl-in-damascas-a-the-amina-profile,Sophie Deraspe,2014,,,tt4370926,,84
Stuff,http://slgff.strangertickets.com/films/28226601/stuff,Suzanne Guacci,2015,,tt3848072,,,98
Off A Cliff,http://slgff.strangertickets.com/films/28226816/off-a-cliff,Cédric Jouarie,2014,,,,,6
Lady Of The Night,http://slgff.strangertickets.com/films/28226794/lady-of-the-night,Laurent Boileau,2014,,,,,11
"Where Are You Going, Habibi?",http://slgff.strangertickets.com/films/28226624/where-are-you-going-habibi,Tor Iben,2015,,tt4064498,tt4064498,,80
Cairo 52,http://slgff.strangertickets.com/films/28226707/cairo-52,Dominique Birrer,2014,,tt5219534,,,5
Another Teenage Love Story,http://slgff.strangertickets.com/films/28226656/another-teenage-love-story,"Andrew Cali, Sydney Pennington, Ana Walker, Maya Vasquez",2015,,,,,6
Water,http://slgff.strangertickets.com/films/28226856/water,Ricardo Esparragoza,2014,,,,,12
I Do,http://slgff.strangertickets.com/films/28226783/i-do,Felipe Cabral,2014,,,,,20
1975 (kiss),http://slgff.strangertickets.com/films/28226672/1975-kiss,Wrik Mead,2014,,,,,1
Beautiful Something,http://slgff.strangertickets.com/films/28226534/beautiful-something,Joseph Graham,2015,,tt3212408,tt3212408,,93
Portrait Of A Serial Monogamist,http://slgff.strangertickets.com/films/28226604/portrait-of-a-serial-monogamist,"Christina Zeidler, John Mitchell",2015,,tt2935662,,,84
Raising Ryland,http://slgff.strangertickets.com/films/28226827/raising-ryland,Sarah Feeley,2015,,tt4136042,tt4136042,,14
Queer Habits,http://slgff.strangertickets.com/films/28226829/queer-habits,Drew Denny,2015,,tt4197434,tt4197434,,14
Boxeadora,http://slgff.strangertickets.com/films/28226648/boxeadora,Meg Smaker,2015,,tt3983654,tt3983654,,16
Big Time- My Doodled Diary,http://slgff.strangertickets.com/films/28226669/big-time-my-doodled-diary,Sonali Gulati,2015,,,,,12
Baby Steps,http://slgff.strangertickets.com/films/28226561/baby-steps,Barney Cheng,2014,,,,,103
Coming Home,http://slgff.strangertickets.com/films/28226705/coming-home,Steven Liang,2015,,tt3712738,,,14
Wang,http://slgff.strangertickets.com/films/28226873/wang,S. Arden Barlow,2015,,,,,2
Dyke Hard,http://slgff.strangertickets.com/films/28226530/dyke-hard,Bitte Anderson,2014,,,,,94
The Standoff,http://slgff.strangertickets.com/films/28226837/standoff-the,Leann Bowen,2015,,tt4549266,,,3
Showboy,http://slgff.strangertickets.com/films/28226824/showboy,Samuel Leighton-Dore,2014,,tt3552042,,,15
S&m Sally,http://slgff.strangertickets.com/films/28226599/sm-sally,Michelle Ehlen,2015,,,,,79
Pepper,http://slgff.strangertickets.com/films/28226830/pepper,Patrick Aubert,2014,,tt4276322,,,8
What We Have,http://slgff.strangertickets.com/films/28226622/what-we-have,Maxime Desmons,2014,,tt3282308,tt3282308,,89
Raven's Touch,http://slgff.strangertickets.com/films/28226564/ravens-touch,"Marina Rice Bader, Dreya Weber",2015,,tt3054840,tt3054840,,86
