Entity,Url,IMDB,Director,Alias,genre,Runtime,Year
Carina,http://slgff.strangertickets.com/films/28226685/carina,,Sandra Reynoso,,,11,2014
Blackroot,http://slgff.strangertickets.com/films/28226663/blackroot,,"Ben Kadie, Jack Flynn",,,16,2015
Front Cover,http://slgff.strangertickets.com/films/28226596/front-cover,tt3185602,Ray Yeung,,,87,2015
Hole,http://slgff.strangertickets.com/films/28226799/hole,tt3630326,Martin Edralin,,,15,2014
Why I Fight,http://slgff.strangertickets.com/films/28226865/why-i-fight,,Violetta Palak,,,17,2014
"Nick Jonas: Gay ""teacher""",http://slgff.strangertickets.com/films/28226800/nick-jonas-gay-teacher,,Heath Daniels,,,4,2015
Want It!,http://slgff.strangertickets.com/films/28226846/want-it,,Lee Haven Jones,,,11,2014
Myrna The Monster,http://slgff.strangertickets.com/films/28226821/myrna-the-monster,tt4180724,Ian Samuels,,,15,2015
Been Too Long At The Fair,http://slgff.strangertickets.com/films/28226665/been-too-long-at-the-fair,tt4374426,"Charles Lum, Todd Verow",,,7,2015
Hush Up Sweet Charlotte,http://slgff.strangertickets.com/films/28226554/hush-up-sweet-charlotte,,Billy Clift,,,97,2015
Jayson Bend: Queen And Country,http://slgff.strangertickets.com/films/28226574/jayson-bend-queen-and-country,,Matt Carter,,,49,2014
The Lives Of Lamott Atkins,http://slgff.strangertickets.com/films/28226759/lives-of-lamott-atkins-the,,Robert Philipson,,,36,2014
Reel In The Closet,http://slgff.strangertickets.com/films/28226608/reel-in-the-closet,tt4485952,Stu Maddux,,,70,2015
Freeheld,http://slgff.strangertickets.com/films/28226582/freeheld,tt1658801,Peter Sollett,,,103,2015
The Friend From Telaviv,http://slgff.strangertickets.com/films/28226770/friend-from-telaviv-the,,Federica Gianni,,,13,2015
Underage,http://slgff.strangertickets.com/films/28226857/underage,,"Quinton Mourjoun, Ryn Brocx, Pluto McGregor, Piper Lambert-Vail, Jackie Moffitt",,,6,2015
Charlotte,http://slgff.strangertickets.com/films/28226693/charlotte,tt4215850,Angel Kristi Williams,,,11,2015
Mini Supreme,http://slgff.strangertickets.com/films/28226802/mini-supreme,tt4477910,Michael Phillis,,,10,2015
The Parker Tribe,http://slgff.strangertickets.com/films/28226820/parker-tribe-the,tt3526060,Jane Baker,,,25,2015
Nasty Baby,http://slgff.strangertickets.com/films/28226610/nasty-baby,,Sebastián Silva,,,100,2015
"Furious Saint Jack & Otter, Alone",http://slgff.strangertickets.com/films/28226719/furious-saint-jack-otter-alone,,Ethan Roberts,,,6,2014
Float,http://slgff.strangertickets.com/films/28226766/float,tt4392140,Sam Berliner,,,4,2015
Welcome To This House,http://slgff.strangertickets.com/films/28226621/welcome-to-this-house,tt4329186,Barbara Hammer,,,79,2015
Lazarus Come Out,http://slgff.strangertickets.com/films/28226778/lazarus-come-out,tt4500470,Lorenzo Caproni,,,15,2015
Before The Last Curtain Falls,http://slgff.strangertickets.com/films/28226590/before-the-last-curtain-falls,,Thomas Wallner,,,86,2014
You're Killing Me,http://slgff.strangertickets.com/films/28226654/youre-killing-me,tt4490654,Jim Hansen,,,90,2015
Joani: Queen Of The Paradiddle,http://slgff.strangertickets.com/films/28226797/joani-queen-of-the-paradiddle,tt5171984,Tina Gordon,,,31,2015
