Entity,Director,ed,Url,IMDB,Alias,genre,Runtime,Year
Boxeadora,Meg Smaker,Boxeadora Meg Smaker,http://slgff.strangertickets.com/films/28226648/boxeadora,tt3983654,,,16,2015
Big Time- My Doodled Diary,Sonali Gulati,Big Time- My Doodled Diary Sonali Gulati,http://slgff.strangertickets.com/films/28226669/big-time-my-doodled-diary,,,,12,2015
Baby Steps,Barney Cheng,Baby Steps Barney Cheng,http://slgff.strangertickets.com/films/28226561/baby-steps,,,,103,2014
Coming Home,Steven Liang,Coming Home Steven Liang,http://slgff.strangertickets.com/films/28226705/coming-home,tt3712738,,,14,2015
Wang,S. Arden Barlow,Wang S. Arden Barlow,http://slgff.strangertickets.com/films/28226873/wang,,,,2,2015
Dyke Hard,Bitte Anderson,Dyke Hard Bitte Anderson,http://slgff.strangertickets.com/films/28226530/dyke-hard,,,,94,2014
The Standoff,Leann Bowen,The Standoff Leann Bowen,http://slgff.strangertickets.com/films/28226837/standoff-the,tt4549266,,,3,2015
Showboy,Samuel Leighton-Dore,Showboy Samuel Leighton-Dore,http://slgff.strangertickets.com/films/28226824/showboy,tt3552042,,,15,2014
S&m Sally,Michelle Ehlen,S&m Sally Michelle Ehlen,http://slgff.strangertickets.com/films/28226599/sm-sally,,,,79,2015
Pepper,Patrick Aubert,Pepper Patrick Aubert,http://slgff.strangertickets.com/films/28226830/pepper,tt4276322,,,8,2014
What We Have,Maxime Desmons,What We Have Maxime Desmons,http://slgff.strangertickets.com/films/28226622/what-we-have,tt3282308,,,89,2014
Raven's Touch,"Marina Rice Bader, Dreya Weber","Raven's Touch Marina Rice Bader, Dreya Weber",http://slgff.strangertickets.com/films/28226564/ravens-touch,tt3054840,,,86,2015
