Entity,Director,ed,Url,IMDB,Alias,genre,Runtime,Year
Nasty Baby,Sebastián Silva,Nasty Baby Sebastián Silva,http://slgff.strangertickets.com/films/28226610/nasty-baby,,,,100,2015
"Furious Saint Jack & Otter, Alone",Ethan Roberts,"Furious Saint Jack & Otter, Alone Ethan Roberts",http://slgff.strangertickets.com/films/28226719/furious-saint-jack-otter-alone,,,,6,2014
Float,Sam Berliner,Float Sam Berliner,http://slgff.strangertickets.com/films/28226766/float,tt4392140,,,4,2015
Welcome To This House,Barbara Hammer,Welcome To This House Barbara Hammer,http://slgff.strangertickets.com/films/28226621/welcome-to-this-house,tt4329186,,,79,2015
Lazarus Come Out,Lorenzo Caproni,Lazarus Come Out Lorenzo Caproni,http://slgff.strangertickets.com/films/28226778/lazarus-come-out,tt4500470,,,15,2015
Before The Last Curtain Falls,Thomas Wallner,Before The Last Curtain Falls Thomas Wallner,http://slgff.strangertickets.com/films/28226590/before-the-last-curtain-falls,,,,86,2014
You're Killing Me,Jim Hansen,You're Killing Me Jim Hansen,http://slgff.strangertickets.com/films/28226654/youre-killing-me,tt4490654,,,90,2015
Joani: Queen Of The Paradiddle,Tina Gordon,Joani: Queen Of The Paradiddle Tina Gordon,http://slgff.strangertickets.com/films/28226797/joani-queen-of-the-paradiddle,tt5171984,,,31,2015
Decussation Chamber,"Nathan Hill, Malic Amalya","Decussation Chamber Nathan Hill, Malic Amalya",http://slgff.strangertickets.com/films/28226718/decussation-chamber,,,,9,2015
Notes From There,Ann Prim,Notes From There Ann Prim,http://slgff.strangertickets.com/films/28226817/notes-from-there,tt4372328,,,14,2015
Give Him Something Red,Greg Acceta,Give Him Something Red Greg Acceta,http://slgff.strangertickets.com/films/28226740/give-him-something-red,,,,5,2015
Stories Of Our Lives,Jim Chuchu,Stories Of Our Lives Jim Chuchu,http://slgff.strangertickets.com/films/28226603/stories-of-our-lives,tt3973612,,,62,2014
Brockington,"Sergio Ingato, Mason Sklut, Maggie Sloane","Brockington Sergio Ingato, Mason Sklut, Maggie Sloane",http://slgff.strangertickets.com/films/28226668/brockington,tt3780526,,,9,2014
Rite Of Spring,Glen Wood,Rite Of Spring Glen Wood,http://slgff.strangertickets.com/films/28226831/rite-of-spring,tt3626828,,,12,2014
The Surface,Michael Saul,The Surface Michael Saul,http://slgff.strangertickets.com/films/28226607/surface-the,tt3581788,,,79,2015
Aviliaq: Entwined,Alethea Arnaquq-Baril,Aviliaq: Entwined Alethea Arnaquq-Baril,http://slgff.strangertickets.com/films/28226697/aviliaq-entwined,tt4777054,,,16,2014
The Little Deputy,Trevor Anderson,The Little Deputy Trevor Anderson,http://slgff.strangertickets.com/films/28226754/little-deputy-the,tt4110934,,,9,2015
Plunge,Kate Lefoe,Plunge Kate Lefoe,http://slgff.strangertickets.com/films/28226835/plunge,,,,6,2014
Closets,Lloyd Eyre-Morgan,Closets Lloyd Eyre-Morgan,http://slgff.strangertickets.com/films/28226690/closets,tt4643840,,,18,2015
While You Weren't Looking,Catherine Stewart,While You Weren't Looking Catherine Stewart,http://slgff.strangertickets.com/films/28226632/while-you-werent-looking,tt4353990,,,74,2015
Akron,"Brian O'Donnell, Sasha King","Akron Brian O'Donnell, Sasha King",http://slgff.strangertickets.com/films/28226538/akron,tt3544014,,,88,2015
Tremulo,Roberto Fiesco,Tremulo Roberto Fiesco,http://slgff.strangertickets.com/films/28226864/tremulo,,,,20,2015
Ma/ddy,Devon Kirkpatrick,Ma/ddy Devon Kirkpatrick,http://slgff.strangertickets.com/films/28226763/maddy,,,,12,2015
Roxanne,Paul Frankl,Roxanne Paul Frankl,http://slgff.strangertickets.com/films/28226832/roxanne,tt4136956,,,14,2014
Summer,Colette Bothof,Summer Colette Bothof,http://slgff.strangertickets.com/films/28226617/summer,tt2691102,,,86,2014
Happy & Gay,Lorelei Pepi,Happy & Gay Lorelei Pepi,http://slgff.strangertickets.com/films/28226756/happy-gay,,,,11,2014
To Hold Water,Francisca Alegría,To Hold Water Francisca Alegría,http://slgff.strangertickets.com/films/28226862/to-hold-water,,,,15,2015
A Gay Girl In Damascus: The Amina Profile,Sophie Deraspe,A Gay Girl In Damascus: The Amina Profile Sophie Deraspe,http://slgff.strangertickets.com/films/28226536/gay-girl-in-damascas-a-the-amina-profile,,,,84,2014
Stuff,Suzanne Guacci,Stuff Suzanne Guacci,http://slgff.strangertickets.com/films/28226601/stuff,tt3848072,,,98,2015
Off A Cliff,Cédric Jouarie,Off A Cliff Cédric Jouarie,http://slgff.strangertickets.com/films/28226816/off-a-cliff,,,,6,2014
Lady Of The Night,Laurent Boileau,Lady Of The Night Laurent Boileau,http://slgff.strangertickets.com/films/28226794/lady-of-the-night,,,,11,2014
"Where Are You Going, Habibi?",Tor Iben,"Where Are You Going, Habibi? Tor Iben",http://slgff.strangertickets.com/films/28226624/where-are-you-going-habibi,tt4064498,,,80,2015
Cairo 52,Dominique Birrer,Cairo 52 Dominique Birrer,http://slgff.strangertickets.com/films/28226707/cairo-52,tt5219534,,,5,2014
Another Teenage Love Story,"Andrew Cali, Sydney Pennington, Ana Walker, Maya Vasquez","Another Teenage Love Story Andrew Cali, Sydney Pennington, Ana Walker, Maya Vasquez",http://slgff.strangertickets.com/films/28226656/another-teenage-love-story,,,,6,2015
Water,Ricardo Esparragoza,Water Ricardo Esparragoza,http://slgff.strangertickets.com/films/28226856/water,,,,12,2014
I Do,Felipe Cabral,I Do Felipe Cabral,http://slgff.strangertickets.com/films/28226783/i-do,,,,20,2014
1975 (kiss),Wrik Mead,1975 (kiss) Wrik Mead,http://slgff.strangertickets.com/films/28226672/1975-kiss,,,,1,2014
Beautiful Something,Joseph Graham,Beautiful Something Joseph Graham,http://slgff.strangertickets.com/films/28226534/beautiful-something,tt3212408,,,93,2015
Portrait Of A Serial Monogamist,"Christina Zeidler, John Mitchell","Portrait Of A Serial Monogamist Christina Zeidler, John Mitchell",http://slgff.strangertickets.com/films/28226604/portrait-of-a-serial-monogamist,tt2935662,,,84,2015
Raising Ryland,Sarah Feeley,Raising Ryland Sarah Feeley,http://slgff.strangertickets.com/films/28226827/raising-ryland,tt4136042,,,14,2015
Queer Habits,Drew Denny,Queer Habits Drew Denny,http://slgff.strangertickets.com/films/28226829/queer-habits,tt4197434,,,14,2015
