Entity,Director,url,Year,Alias,IMDB,IMDB URL,genre,Runtime
All About E,Louise Wadley,http://slgff.strangertickets.com/films/28226558/all-about-e,2015,,,http://www.imdb.com/title/tt3532686/,,93
Hustler White,"Bruce LaBruce, Rick Castro",http://slgff.strangertickets.com/films/28226600/hustler-white,1996,,tt0116587,,,80
Reel Queer Youth Behind The Scenes,Danny Tayara,http://slgff.strangertickets.com/films/28226838/reel-queer-youth-behind-the-scenes,2015,,,,,3
Bullethead,Ya'Shalan Nelson,http://slgff.strangertickets.com/films/28226671/bullethead,2014,,tt4247142,http://www.imdb.com/title/tt4247142/,,2
Female Masculinity Appreciation Society,"Jackie Nunns, Angie West",http://slgff.strangertickets.com/films/28226689/female-masculinity-appreciation-society,2014,,tt4326534,http://www.imdb.com/title/tt4326534/,,12
Nineteen,Madeline Kelly,http://slgff.strangertickets.com/films/28226791/nineteen,2014,,,http://www.imdb.com/title/tt3809264/,,11
Tab Hunter Confidential,Jeffrey Schwarz,http://slgff.strangertickets.com/films/28226598/tab-hunter-confidential,2015,,tt1533089,http://www.imdb.com/title/tt1533089/,,90
Naz & Maalik,Jay Dockendorf,http://slgff.strangertickets.com/films/28226585/naz-maalik,2014,,,http://www.imdb.com/title/tt3385334/,,85
Spare Parts,Yasmin Al-Manaseer,http://slgff.strangertickets.com/films/28226833/spare-parts,2015,,tt4900162,http://www.imdb.com/title/tt4900162/,,7
Pop-up Porno: M4m,Stephen Dunn,http://slgff.strangertickets.com/films/28226840/pop-up-porno-m4m,2014,,,,,4
Weird Is Who's Not Weird,Cristopher Carballo Lerma,http://slgff.strangertickets.com/films/28226866/weird-is-whos-not-weird,2015,,,,,16
Out To Win,Malcolm Ingram,http://slgff.strangertickets.com/films/28226567/out-to-win,2015,,tt3710096,,,99
Paper Thin,Nataly Lebouleux,http://slgff.strangertickets.com/films/28226818/paper-thin,2014,,tt4254688,,,20
Brasxploitation,Edem Ortegal,http://slgff.strangertickets.com/films/28226679/brasxploitation,2014,,,,,22
Camouflage,"Stephan Kämpf, Andreas Kessler",http://slgff.strangertickets.com/films/28226717/camouflage,2014,,tt3588216,,,8
Gmv,"Tran Tonnu, Flora Peterson, Jessica Schwarz-Torres, Jada Calhoun",http://slgff.strangertickets.com/films/28226755/gmv,2015,,,,,5
"09:55-11:05, Ingrid Ekman, Bergsgatan 4b","Cristine Berglund, Sophie Vukovic",http://slgff.strangertickets.com/films/28226633/0955-1105-ingrid-ekman-bergsgatan-4b,2014,,,,,15
